ID,ANO,MES,MARCA,MODELO,TIPOVEHICULO,KM_MES,GrCo2_km,GrCo2
359,2022,7,00388 - CITROEN,C2,03 - CAMION FURGON,182,113,21
366,2022,7,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,716,84,60
368,2022,7,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,567,84,48
370,2022,7,05466 - UNVI,TGEVEGA,30 - AUTOBUS,171,214,37
373,2022,7,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,604,89,54
375,2022,7,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,425,0,0
376,2022,7,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,69,143,10
380,2022,7,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,907,99,90
381,2022,7,01382 - NISSAN,KUBISTAR,20 - FURGONETA,440,147,65
383,2022,7,01709 - SEAT,ALTEA,40 - TURISMO,426,142,60
391,2022,8,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,1795,101,181
396,2022,8,01709 - SEAT,TOLEDO,40 - TURISMO,1776,114,202
398,2022,8,02339 - JEEP,RENEGADE,40 - TURISMO,791,134,106
403,2022,8,01709 - SEAT,TOLEDO,40 - TURISMO,928,106,98
405,2022,8,01709 - SEAT,ALTEA,40 - TURISMO,44,119,5
408,2022,8,01709 - SEAT,LEON 1.9,40 - TURISMO,186,135,25
412,2022,8,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,206,246,51
414,2022,8,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,92,246,23
417,2022,8,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,618,0,0
426,2022,8,01709 - SEAT,IBIZA,40 - TURISMO,572,109,62
427,2022,8,05466 - UNVI,TGEVEGA,30 - AUTOBUS,600,214,128
431,2022,8,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,211,0,0
437,2022,8,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,163,99,16
440,2022,8,01709 - SEAT,ALTEA,40 - TURISMO,137,142,19
443,2022,8,01253 - MERCEDES-BENZ,VITO 108 D,0G - VEHICULO MIXTO ADAPTABLE,0,195,0
444,2022,9,01181 - MAN,TGL,03 - CAMION FURGON,39,354,14
447,2022,9,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,5099,101,515
449,2022,9,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,88,218,19
452,2022,9,01551 - RENAULT,KANGOO,0G - VEHICULO MIXTO ADAPTABLE,1543,140,216
458,2022,9,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,1945,166,323
459,2022,9,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,188,170,32
462,2022,9,01709 - SEAT,ALTEA,40 - TURISMO,0,119,0
464,2022,9,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,1010,180,182
468,2022,9,01709 - SEAT,LEON,40 - TURISMO,1029,96,99
470,2022,9,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,2273,137,311
471,2022,9,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,2973,246,731
473,2022,9,00388 - CITROEN,C2,03 - CAMION FURGON,349,113,39
474,2022,9,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,441,0,0
479,2022,9,01709 - SEAT,IBIZA,40 - TURISMO,73,109,8
483,2022,9,01709 - SEAT,IBIZA,40 - TURISMO,406,109,44
486,2022,9,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,1018,89,91
491,2022,9,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,2094,173,362
492,2022,9,01291 - MITSUBISHI,GALLOPER SUPER EXCEED,0G - VEHICULO MIXTO ADAPTABLE,195,173,34
496,2022,9,00678 - FIAT,SEICENTO,40 - TURISMO,42,143,6
500,2022,9,01253 - MERCEDES-BENZ,VITO 108 D,0G - VEHICULO MIXTO ADAPTABLE,18,195,4
502,2022,10,00678 - FIAT,IDEA,40 - TURISMO,65,124,8
506,2022,10,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,169,218,37
512,2022,10,02339 - JEEP,RENEGADE,40 - TURISMO,566,134,76
514,2022,10,02339 - JEEP,RENEGADE,40 - TURISMO,2828,134,379
516,2022,10,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,224,170,38
519,2022,10,01709 - SEAT,ALTEA,40 - TURISMO,0,119,0
520,2022,10,01709 - SEAT,LEON 1.9,40 - TURISMO,1321,135,178
522,2022,10,01709 - SEAT,LEON 1.9,40 - TURISMO,120,135,16
523,2022,10,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,1017,173,176
524,2022,10,01709 - SEAT,ALHAMBRA,40 - TURISMO,3529,150,529
527,2022,10,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,1976,137,271
529,2022,10,01709 - SEAT,LEON,40 - TURISMO,677,96,65
532,2022,10,00388 - CITROEN,C2,03 - CAMION FURGON,202,113,23
534,2022,10,01709 - SEAT,LEON,40 - TURISMO,1374,161,221
536,2022,10,01709 - SEAT,IBIZA,40 - TURISMO,55,109,6
541,2022,10,05466 - UNVI,TGEVEGA,30 - AUTOBUS,3141,214,672
544,2022,10,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,604,89,54
548,2022,10,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,878,173,152
550,2022,10,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,1138,147,167
553,2022,10,00678 - FIAT,SEICENTO,40 - TURISMO,229,143,33
554,2022,10,01709 - SEAT,ALTEA,40 - TURISMO,380,142,54
556,2022,10,03670 - IVECO,CC80E18M P,00 - CAMION,1207,220,266
557,2022,10,01253 - MERCEDES-BENZ,VITO 108 D,0G - VEHICULO MIXTO ADAPTABLE,18,195,3
560,2022,11,01476 - PEUGEOT,BOXER,30 - AUTOBUS,218,235,51
562,2022,11,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,4217,101,426
563,2022,11,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,230,218,50
565,2022,11,05466 - UNVI,SPRINTER,30 - AUTOBUS,1005,436,438
568,2022,11,01709 - SEAT,IBIZA,40 - TURISMO,388,109,42
571,2022,11,02339 - JEEP,RENEGADE,40 - TURISMO,3124,134,419
573,2022,11,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,270,170,46
575,2022,11,01709 - SEAT,TOLEDO,40 - TURISMO,49,106,5
577,2022,11,01709 - SEAT,LEON 1.9,40 - TURISMO,623,135,84
578,2022,11,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,316,180,57
580,2022,11,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,146,173,25
582,2022,11,03670 - IVECO,70C18,03 - CAMION FURGON,346,214,74
585,2022,11,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,2995,137,410
589,2022,11,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,544,0,0
594,2022,11,01709 - SEAT,IBIZA,40 - TURISMO,37,109,4
598,2022,11,01709 - SEAT,IBIZA,40 - TURISMO,826,109,90
599,2022,11,05466 - UNVI,TGEVEGA,30 - AUTOBUS,3984,214,853
609,2022,11,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,417,99,41
613,2022,11,03670 - IVECO,CC80E18M P,00 - CAMION,1839,220,405
617,2022,12,01476 - PEUGEOT,BOXER,30 - AUTOBUS,105,235,25
618,2022,12,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,3038,101,307
621,2022,12,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,723,147,106
631,2022,12,01709 - SEAT,TOLEDO,40 - TURISMO,676,106,72
633,2022,12,01709 - SEAT,ALTEA,40 - TURISMO,390,119,46
634,2022,12,01709 - SEAT,LEON 1.9,40 - TURISMO,1135,135,153
638,2022,12,01709 - SEAT,ALHAMBRA,40 - TURISMO,857,150,129
640,2022,12,01709 - SEAT,LEON,40 - TURISMO,1239,96,119
644,2022,12,01709 - SEAT,LEON,40 - TURISMO,2376,96,228
646,2022,12,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,242,0,0
648,2022,12,01382 - NISSAN,NISSAN LEAF 40KWH,40 - TURISMO,194,0,0
649,2022,12,01709 - SEAT,LEON,40 - TURISMO,1561,161,251
650,2022,12,00678 - FIAT,DOBLO,20 - FURGONETA,231,133,31
655,2022,12,01709 - SEAT,IBIZA,40 - TURISMO,641,109,70
661,2022,12,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,423,0,0
668,2022,12,00678 - FIAT,SEICENTO,40 - TURISMO,179,143,26
671,2022,12,01253 - MERCEDES-BENZ,VITO 108 D,0G - VEHICULO MIXTO ADAPTABLE,0,195,0
